title,price,dealer_name,lat,long
2012 Jeep Wrangler Unlimited Sport,$23500,The Auto Store,43.113209,-78.69639352692307
2016 BMW X6 xDrive35i,$37659,Valley Cadillac,43.093182150000004,-77.58125894785404
2019 Toyota 4Runner SR5,$37293,North Coast Auto Mall of Bedford,41.39931105263158,-81.54470015789474
2018 Mercedes-Benz C-Class C 300 4MATIC,$37000,Mercedes-Benz of Wilkes-Barre,41.2550665,-75.83853596929617
2019 Ford Flex SEL,$33995,Suburban Ford of Sterling Heights,42.5898348,-83.03422791848709
2019 Ford Flex SEL,$30421,Pat Milliken Ford,42.3662761,-83.27452399076908
2019 Ford Mustang EcoBoost Premium,$30800,Jack Demmer Ford,42.28148497986839,-83.39787591934355
2020 Toyota Prius LE,$29454,Tri County Toyota,40.22088643943626,-75.54243162044268
2013 Toyota Highlander Limited,$25491,Sloane Toyota of Philadelphia,40.055843333333335,-75.07431633333333
2014 Lexus GX 460 Base,$33888,Ourisman Lexus,39.10879116705059,-77.15952770108233
2020 Toyota Corolla LE,$20000,Koons Sterling Ford,39.016869650000004,-77.378153878426
2017 BMW X3 xDrive28i,$24995,BM Motorcars,40.6030364892353,-74.26910110147625
2020 Lexus NX 300 F Sport,$43399,DARCARS Lexus of Englewood,40.894520227662156,-73.9722879931119
2018 Volvo XC60 T5 Inscription,$35991,Fitzgerald Auto Mall Wheaton,39.03552728571429,-77.04985783673469
2017 Hyundai Elantra SE,$20490,Easterns Automotive Group of Laurel- Curbside and Home Delivery Available,39.101102,-76.821686
2018 Mazda CX-5 Grand Touring,$27980,Ourisman Jeep,38.978317,-77.09149
2020 Chrysler 300 S,$34500,Koons Tysons Chrysler Dodge Jeep RAM,38.9177764,-77.23558638124621
2016 Mercedes-Benz S-Class S 550,$42444,Auto Buying Service,38.87139250929483,-77.2369953408023
2016 BMW M235 i xDrive,$22444,Auto Buying Service,38.87139250929483,-77.2369953408023
2017 Cadillac Escalade ESV Platinum,$49444,Auto Buying Service,38.87139250929483,-77.2369953408023
2014 Land Rover Range Rover 5.0L Supercharged,$36966,Merlex Auto Group,38.8764803,-77.1087201
2013 GMC Yukon Denali,$20798,Dan Tobin Chevrolet Buick GMC,40.11045225,-83.08328750615749
2017 Jeep Grand Cherokee Limited,$28200,Lustine Chrysler Jeep Dodge RAM,38.644507749554045,-77.26469540118966
2021 Toyota Supra 3.0,$57810,Bayside Chevrolet Toyota,38.562400499999995,-76.60039587705955
2020 Volvo XC90 T6 Inscription 7 Passenger,$63500,Volvo Cars of Fredericksburg,38.311608,-77.505395
2018 GMC Sierra 1500 SLT,$48692,The Used Car Factory,38.43081120730529,-76.72220547050016
2016 Land Rover Range Rover 3.0L Supercharged HSE,$50000,Alpha Motorsports Fredericksburg,38.27208745,-77.4946876
2020 Honda Civic LX,$23750,Bayside Pre-Owned Hollywood,38.3851398,-76.6314662
2016 Volvo XC60 T5 Premier,$22895,Xtreme Truck and Auto Center,43.05839846656489,-85.95474701614316
2018 Genesis G80 3.8,$35995,Mid-Towne Auto Center,39.49477650068675,-84.33669473815081
2015 Land Rover Range Rover Sport Supercharged HSE,$44998,The Highline Group,42.634545,-71.330786
2018 Mercedes-Benz GLA 250 4MATIC,$31995,Mercedes-Benz of Warwick,41.6953954,-71.49833199999999
2015 BMW 550 i xDrive,$29283,Eastside Motoring,42.3850774,-71.2637931711528
2019 Jeep Grand Cherokee Limited,$37588,Southern Dodge Chrysler Jeep Ram Fiat Norfolk,36.8843472,-76.2167063
2019 Honda Civic LX,$22790,Indy Honda,39.7731036,-86.1542341
2018 Acura MDX 3.5L,$29999,Automax Chicago,41.937717750000004,-87.74655252582644
2016 BMW X1 xDrive 28i,$23500,Elite Motors,42.361645,-87.875787
2016 BMW X1 xDrive 28i,$26500,Webb Chevy,41.72112607314471,-87.74094140134459
2020 Ford EcoSport Titanium,$22400,Napleton Off Lease,42.14231660649954,-88.00458957133496
2013 Chevrolet Suburban 1500 LTZ,$24990,Gillespie Ford,42.4154252,-88.1142509
2014 Mercedes-Benz S-Class S 550 4MATIC,$38995,Highline Auto Sales,41.749809476510066,-87.93793129530201
2019 Audi Q8 3.0T Premium,$72774,Perillo Downers Grove,41.80965145454545,-87.99448209090909
2019 Audi S5 3.0T Premium Plus,$56989,Motor Werks - Barrington Auto Mall ,42.133216653061226,-88.13629364285714
2018 Acura MDX 3.5L w/Technology Package,$37491,Audi Naperville,41.76587155,-88.18443167615875
2018 Audi A5 2.0T Prestige,$43991,Audi Naperville,41.76587155,-88.18443167615875
2016 Honda Odyssey Touring Elite,$25000,St. Charles Toyota,41.919298252858795,-88.28927801135809
2019 Audi S5 3.0T Prestige,$58989,Kearns Motor Car Co.,43.08408877754495,-88.76120287543749
2013 BMW X5 xDrive35i,$18000,TLC Motors,34.908514,-81.982107
2020 Honda Accord Touring 2.0T,$36990,Bommarito Honda Superstore,38.775929385721426,-90.36140461144693
2020 Lexus NX 300 F Sport,$38689,EchoPark Automotive Augusta Delivery Center,33.512571,-82.046064
2019 Honda Odyssey Touring,$39889,EchoPark Automotive Augusta Delivery Center,33.512571,-82.046064
2020 Lexus NX 300 F Sport,$37439,EchoPark Automotive Augusta Delivery Center,33.512571,-82.046064
2020 Mercedes-Benz GLB 250 Base,$44800,Jaguar Land Rover of North Atlanta,34.040486349039064,-84.32241215118452
2019 Ford Mustang GT,$40965,Jim Butler Chevrolet,38.5060135,-90.4507989
2018 Cadillac XT5 Premium Luxury,$30490,Elco Chevrolet & Cadillac,38.5918259,-90.5509362
2017 Chevrolet Corvette Z06,$76469,Gravity Autos Atlanta,33.9105437,-84.2895035
2020 Mercedes-Benz GLB 250 Base,$44517,Ed Voyles Kia of Chamblee,33.9105437,-84.2895035
2021 Audi Q5 45 Premium,$53495,Audi South Atlanta,33.562297,-84.517307
2018 GMC Acadia Denali,$48911,Serra of Jackson,35.678020639922686,-88.85193642086857
2017 Chevrolet Tahoe LT,$37061,Coggin Chevrolet at the Avenues,30.1727042,-81.5471326
2019 Ford Expedition XLT,$48900,Mullinax Ford of Central Florida,28.6743359,-81.4822031
2021 Toyota Supra 3.0,$59079,Subaru of North Tampa,28.0544869,-82.4514045
2018 Dodge Charger SXT Plus,$28926,Suncoast Chrysler Jeep Dodge,27.8394213,-82.7576945
2021 Jeep Wrangler Unlimited Rubicon,$63995,Mercedes-Benz of Pompano,26.2606652,-80.1251966
2016 Mazda Mazda3 i Touring,$14799,Florida Fine Cars Margate,26.2579287,-80.1926189
2019 Honda Civic LX,$22579,EchoPark Automotive Plano,33.0162774,-96.777718
2017 Hyundai Santa Fe SE,$20990,Sign It Drive It,33.21192421682464,-97.11186628859029
2018 Toyota Tacoma TRD Off Road,$40439,EchoPark Automotive Thornton,39.885042,-104.958125
2018 BMW X5 sDrive35i,$42982,Pinnacle Nissan,33.635059999999996,-111.9157733515245
2020 RAM 1500 Limited,$61888,Mercedes-Benz of North Scottsdale,33.6519678,-111.92796822785185
2019 Jeep Grand Cherokee Limited,$34975,Bill Luke Santan,33.28824335,-111.76320468091359
2020 Toyota Tacoma TRD Off Road,$44953,Midway Chevrolet,33.63902075,-112.10911097409462
2021 BMW X3 sDrive30i,$47991,Chapman BMW Chandler,33.322687450000004,-111.97120483273207
2020 Dodge Challenger R/T Scat Pack,$47581,Surprise Ford,33.608593150000004,-112.421005785717
2018 Ford Fusion Hybrid SE,$20839,EchoPark Automotive Phoenix,33.45935615,-112.28724070877965
2018 Ford Fusion Hybrid SE,$21859,EchoPark Automotive Phoenix,33.45935615,-112.28724070877965
2018 Tesla Model 3 Mid Range,$39490,Toyota Of Berkeley Certified Service Center,37.88588815674369,-122.30794749449836
2018 Lincoln MKC Premiere,$24800,Jack Demmer Lincoln,42.306885449999996,-83.2402816475684
2019 Kia Soul Base,$20000,Fuccillo Kia Schenectady,42.76705275,-73.89000944761257
2020 Lincoln Aviator Black Label AWD,$73488,Hines Park Lincoln,42.35930990116279,-83.44191583139535
2018 Mercedes-Benz E-Class E 400,$50300,Where Luxury Meets,40.652739,-74.21581
2017 Porsche Macan Turbo,$60000,Koons Tysons Toyota,38.9325866,-77.2433677
2020 Toyota Land Cruiser Heritage Edition,$102000,Koons Tysons Toyota,38.9325866,-77.2433677
2015 INFINITI Q50 Sport,$21820,Porsche Tysons Corner,38.9291979,-77.24354102728748
2017 Lexus IS 300 Base,$25444,Auto Buying Service,38.87139250929483,-77.2369953408023
2020 RAM 1500 Big Horn,$42000,LaFontaine Chrysler Dodge Jeep Ram and Fiat of Lansing,42.6682787,-84.53727638890274
2018 Mercedes-Benz C-Class C 300 4MATIC,$31000,Germain Honda of Dublin,40.104665,-83.091331
2018 Chevrolet Suburban LT,$52995,East Hills Chevrolet of Roslyn,40.79750745,-73.66624046017247
2014 Lexus GS 350 Base,$24477,Lease Return Center,38.553712,-77.332674
2020 Volvo XC90 T6 Inscription 6 Passenger,$63000,Volvo Cars of Fredericksburg,38.311608,-77.505395
2017 Lexus ES 350 Base,$25995,Autos Direct of Fredericksburg - Lafayette,38.25719675,-77.49563237439313
2020 GMC Yukon SLT,$64347,Imperial Chevrolet,42.10259907207219,-71.56798030712507
2020 Genesis G80 3.8,$40000,Grieco Hyundai of Johnston,41.832428,-71.547768
2019 Lexus RC 350 F Sport,$46336,Ira Toyota of Tewksbury,42.620405149999996,-71.25569630573585
2018 BMW 320 i xDrive,$27495,Boston Foreign Motor,42.35320133333333,-71.13870800000001
2018 Honda Odyssey EX-L,$30204,North City Honda,42.00214435,-87.6903774
2019 Honda Pilot EX-L,$37992,ALL-STAR Honda,42.932104949999996,-87.95064979086925
2019 Lincoln Nautilus Reserve,$49993,Heiser Ford Lincoln,43.11897309446689,-87.93196089878293
2008 Lexus LS 460 Base,$21900,Champion Motorsports,41.66140822741286,-87.75253732625437
2020 Nissan Murano SL,$37899,Zeigler Nissan of Orland Park,41.60183680479623,-87.82917613442532
2016 BMW X1 xDrive 28i,$24777,Hyundai of Palatine,42.15362149350649,-88.04826136363636
2018 Mercedes-Benz GLC 300 Base 4MATIC,$42500,Mercedes-Benz of Westmont,41.810068290322576,-87.97232948387096
2020 Chevrolet Tahoe Premier,$65500,Zeigler Chevrolet,42.05013596752005,-88.04959301446641
2020 Nissan Murano SL,$38895,Woodfield Nissan,42.0503035,-88.09784249305503
2017 Nissan Murano Platinum,$31489,Curry Auto Center,39.15870400578102,-86.4945964989016
2020 Nissan Murano S,$31998,Wallace Mitsubishi,36.5591329,-82.5501141
2018 Ford Explorer XLT,$36390,Van Horn Ford of Lomira,43.58833176630866,-88.43340001657931
2018 Toyota Tundra SR5,$43000,Marion Chrysler Dodge Jeep Ram,35.64775975,-82.03604386029411
2015 Lexus GS 350 ,$28987,Hi-Line Autohaus,35.173467402010054,-80.74715585929648
2018 Acura TLX V6 w/Technology Package,$29700,Mazda of South Charlotte,35.09710305,-80.88209496538805
2017 Jeep Wrangler Unlimited Sport,$38798,BMW Certified Pre-Owned Nashville,36.10479315,-86.76071356736134
2018 Jeep Grand Cherokee Limited,$34298,BMW Certified Pre-Owned Nashville,36.10479315,-86.76071356736134
2019 Honda Odyssey EX-L,$37989,EchoPark Automotive Augusta Delivery Center,33.512571,-82.046064
2014 Chevrolet Corvette Stingray Z51,$56999,Shottenkirk Honda of Cartersville,34.169620699999996,-84.78268712447712
2019 Nissan Armada Platinum,$49999,Gwinnett Place Nissan,34.0026834,-84.1642408
2018 Cadillac XT5 Premium Luxury,$38990,Elco Chevrolet & Cadillac,38.5918259,-90.5509362
2020 Kia Telluride S,$41898,Vestavia Auto Plaza,33.416175,-86.803497
2020 Acura MDX 3.5L w/Technology Package,$46918,Duval Acura,30.324727102667758,-81.51999303159135
2017 Chevrolet Tahoe LT,$39487,Coggin Chevrolet at the Avenues,30.1727042,-81.5471326
2018 Mercedes-Benz E-Class E 400,$43499,Off Lease Only Orlando,28.451285872310788,-81.27531080544969
2021 Toyota Supra 3.0 Premium,$61981,Audi Melbourne,28.076759726551792,-80.70300069341978
2015 BMW 328 i,$13388,Driver's Auto Mart,26.054874528363943,-80.25174315960997
2018 BMW 540 i,$42783,Miami Car Credit,25.9523744,-80.20627214683398
2019 Volkswagen Jetta GLI 2.0T 35th Anniversary Edition,$9950,AE of Miami,25.827018099999997,-80.24134186080965
2021 Toyota Supra 3.0 Premium,$58995,Porsche Plano,33.0160854,-96.8138597
2020 Acura MDX 3.5L w/Technology Package,$36850,Precision Auto Sales,32.8214883,-96.630192
2020 Ford F-150 King Ranch,$59591,Joe Myers Ford,29.8621738,-95.5294047
2019 Honda Odyssey Elite,$46424,John Eagle Honda of Houston,29.9287644,-95.6391205
2017 Land Rover Range Rover 5.0L Supercharged Autobiography,$75998,Land Rover Jaguar Houston Central,29.782096,-95.44395286626403
2018 Toyota 4Runner Limited,$38244,Keating Toyota,29.4979666,-95.3855667
2020 Chevrolet Tahoe LT,$48667,Shottenkirk Nissan Katy,29.77375323361888,-95.81680783249833
2020 Ford Expedition XLT,$51490,Toyota of Cedar Park,30.5217266,-97.8153707
2018 Toyota Tacoma TRD Off Road,$39999,Emich Automotive,39.6938555,-104.93999626949103
2018 Jeep Grand Cherokee Limited,$29699,AutoNation Chrysler Jeep Broadway,39.618056100000004,-104.98915175569684
2018 Jaguar F-PACE 30t Premium,$38428,Stevinson Imports - Jaguar,39.6132027,-104.9798695
2018 Ford F-150 King Ranch,$43040,Larry H. Miller Ford Lakewood,39.7257608,-105.114473
2017 Toyota Highlander Limited,$32391,North Park Toyota of San Antonio,29.315701,-98.61246315008765
2019 Honda Ridgeline RTL-T,$41646,Honda of Superstition Springs,33.3887455,-111.69749911171253
2015 Honda Civic LX,$16000,Cactus Auto,32.27232880436489,-111.0004457482261
2019 Jeep Grand Cherokee Limited,$43250,Bill Luke Santan,33.28824335,-111.76320468091359
2018 Ford F-150 Platinum,$54500,Mark Kia ,33.4866752,-111.88944470527805
2020 RAM 1500 Big Horn,$37998,Showcase Honda,33.508390500000004,-112.05279568092652
2020 RAM 1500 Big Horn,$41075,Bill Luke Chrysler Jeep Dodge RAM,33.50857405,-112.11017952303409
2018 BMW X5 sDrive35i,$44991,Chapman BMW Chandler,33.322687450000004,-111.97120483273207
2009 Dodge Challenger SRT8,$22886,AutoNation USA Henderson,36.04905060320375,-115.02908878793592
2019 BMW 330 i,$36498,Rusnak Volvo Cars,34.146182,-118.0863599
2019 Honda CR-V EX-L,$31367,STG Auto Group - Garden Grove,33.762962851405625,-117.91999963253012
2019 Toyota Prius Prime Plus,$26999,Best Auto Sales,33.77384575952861,-117.97316823314526
2018 BMW 330 i,$27992,Penske Chevrolet of Cerritos,33.862859824120605,-118.0997261959799
2019 Honda Accord Sport,$28999,STG Auto Group of Bellflower,33.87481902288708,-118.14808411891481
2019 Audi RS 5 2.9T,$75990,Audi Oakland,37.748864499999996,-122.20556836717688
